datetime,market_date,hour,weekday,month,is_weekend,is_holiday,lag_1,lag_2,lag_24,lag_48,lag_168,predicted_smp,window_avg_smp
2025-01-01 03:00:00,2025-01-01,3,2,1,0,1,81.3003329115623,87.89792083071761,80.48,79.03,92.15,74.4145429986277,74.88467610203145
2025-01-01 04:00:00,2025-01-01,4,2,1,0,1,74.4145429986277,81.3003329115623,80.48,79.03,91.63,74.4565131210631,76.15757836694786
2025-01-01 05:00:00,2025-01-01,5,2,1,0,1,74.4565131210631,74.4145429986277,80.48,79.03,91.82,75.78297218640355,77.56930130840188
